entity_type,id,loads_started,mining_minutes,travel_minutes,wait_minutes,unload_minutes,efficiency,station_busy_minutes,station_utilization,avg_wait_minutes,trucks_started
truck,0,16,3280.00,960.00,0.00,80.00,0.76,,,,
truck,1,15,3360.63,884.37,0.00,75.00,0.78,,,,
truck,2,18,3148.84,1080.00,1.16,90.00,0.73,,,,
truck,3,18,3149.93,1080.00,0.07,90.00,0.73,,,,
truck,4,18,3146.62,1080.00,3.38,90.00,0.73,,,,
truck,5,20,3020.00,1200.00,0.00,100.00,0.70,,,,
truck,6,17,3215.00,1020.00,0.00,85.00,0.74,,,,
truck,7,19,3085.00,1140.00,0.00,95.00,0.71,,,,
truck,8,18,3150.00,1080.00,0.00,90.00,0.73,,,,
truck,9,17,3230.85,1004.15,0.00,85.00,0.75,,,,
station,0,,,,,,745.00,0.17,0.03,149
station,1,,,,,,135.00,0.03,0.00,27
